element label,point1,point2,F,sigma,sigma_y,sigma_b,sigma_lim,percent_allowed
B0201B0300,B0201,B0300,2501859.5422395947,197621844.06926495,376000000.0,-35680277.61754257,376000000.0,52.559001082251314
A0200B0300,A0200,B0300,48096.04937452864,34191955.337345645,376000000.0,-5221911.60542469,376000000.0,9.093605142911075
A0300B0200,A0300,B0200,-171188.5548572343,-18002903.872608982,376000000.0,-35300122.45266813,-35300122.45266813,50.99955077138336
A0201B0301,A0201,B0301,69010.83505420203,49060482.527195685,376000000.0,-5221911.60542469,376000000.0,13.048000672126511
B0201A0301,B0201,A0301,-474622.1409024154,-29188023.866150465,376000000.0,-60365298.158707924,-60365298.158707924,48.35232286836636
A0202A0302,A0202,A0302,652792.2728993021,197386017.12554795,376000000.0,-18641843.812030893,376000000.0,52.49628115041168
A0302B0302,A0302,B0302,-144914.88594393135,-25755355.025767703,376000000.0,-61180174.24133129,-61180174.24133129,42.09755095527048
B0302B0202,B0302,B0202,-1170785.6880879565,-72000266.4458184,376000000.0,-91658668.72418213,-91658668.72418213,78.55259895000275
A0301A0302,A0301,A0302,282599.78188615607,156412346.17333677,376000000.0,-10184296.524909332,376000000.0,41.599028237589565
B0301B0302,B0301,B0302,-2877344.2449280815,-102527240.69384983,376000000.0,-158191374.04953867,-158191374.04953867,64.81215635799632
B0302A0301,B0302,A0301,81908.76909044103,45334581.152532645,376000000.0,-6707255.350967683,376000000.0,12.05706945546081
B0202B0301,B0202,B0301,2360739.226785703,186474752.67393047,376000000.0,-35680277.61754257,376000000.0,49.59434911540704
A0202B0302,A0202,B0302,220752.0312105581,156934793.81233913,376000000.0,-5221911.60542469,376000000.0,41.73797707774977
B0202A0302,B0202,A0302,-804392.6665281138,-49468051.16115794,376000000.0,-60365298.158707924,-60365298.158707924,81.9478287527053
A0203A0303,A0203,A0303,843146.12601004,199504733.28667152,376000000.0,-23822091.52539009,376000000.0,53.059769491136045
A0303B0303,A0303,B0303,-304115.13332188164,-42080147.04771979,376000000.0,-78582534.91440612,-78582534.91440612,53.54898145440898
B0303B0203,B0303,B0203,-633004.9932364865,-50001053.99860495,376000000.0,-71360555.23508514,-71360555.23508514,70.06819640610283
A0302A0303,A0302,A0303,362832.2051441612,257940989.21999818,376000000.0,-7928950.581676853,376000000.0,68.60132692021227
B0302B0303,B0302,B0303,-3214076.894164496,-114525898.63635907,376000000.0,-158191374.04953867,-158191374.04953867,72.3970566185831
B0303A0302,B0303,A0302,371396.37275892176,148516503.94719678,376000000.0,-9283398.409643937,376000000.0,39.49907019872255
B0203B0302,B0203,B0302,1402387.6735440334,194047165.21680743,376000000.0,-20368593.049814075,376000000.0,51.60828862149134
A0203B0303,A0203,B0303,203725.4232112601,144830410.44136718,376000000.0,-5221911.60542469,376000000.0,38.518726181214674
B0203A0303,B0203,A0303,-1038953.1076429995,-47740721.04910339,376000000.0,-80788774.65992214,-80788774.65992214,59.093260480885476
A0204A0304,A0204,A0304,492107.00161382556,196787090.0426483,376000000.0,-14095912.145203358,376000000.0,52.33699203261922
A0304B0304,A0304,B0304,-601741.4196301989,-63281642.530391015,376000000.0,-103394494.46784581,-103394494.46784581,61.20407363669705
B0304B0204,B0304,B0204,-333354.75320835866,-35056979.02813833,376000000.0,-53599705.932131305,-53599705.932131305,65.40517045471847
A0303A0304,A0303,A0304,58017.42428489602,10311289.626355113,376000000.0,-31715802.326706156,376000000.0,2.742364262328488
B0303B0304,B0303,B0304,-2802339.659273505,-99854632.70816842,376000000.0,-158191374.04953867,-158191374.04953867,63.12267865939282
B0304A0303,B0304,A0303,878417.809543,207850697.9999474,376000000.0,-15688943.312295891,376000000.0,55.27944095743281
B0204B0303,B0204,B0303,661392.0676719222,156498196.44339535,376000000.0,-11911045.762695044,376000000.0,41.62186075622217
A0204B0304,A0204,B0304,151423.97166094353,107648793.2660938,376000000.0,-5221911.60542469,376000000.0,28.629998209067498
B0204A0304,B0204,A0304,-606390.8530767334,-37291456.016288355,376000000.0,-60365298.158707924,-60365298.158707924,61.77631379910432
A0205A0305,A0205,A0305,232921.5131933126,128916590.4858561,376000000.0,-10184296.524909332,376000000.0,34.28632725687662
A0305B0305,A0305,B0305,-567539.380527548,-59684813.158674315,376000000.0,-103394494.46784581,-103394494.46784581,57.72533002444866
B0305B0205,B0305,B0205,-152980.12014134406,-21167726.44823333,376000000.0,-40737186.09962815,-40737186.09962815,51.961680407833924
A0304A0305,A0304,A0305,-306913.14379391476,-32276268.87539304,376000000.0,-53599705.932131305,-53599705.932131305,60.217249916000846
B0304B0305,B0304,B0305,-2164825.2331961277,-99475440.05382513,376000000.0,-122669675.44362582,-122669675.44362582,81.09211970609651
B0305A0304,B0305,A0304,955223.8231827316,226024491.1222853,376000000.0,-15688943.312295891,376000000.0,60.11289657507588
B0205B0304,B0205,B0304,297648.11438146594,164741244.99936655,376000000.0,-5092148.262454666,376000000.0,43.81416090408685
A0205B0305,A0205,B0305,70731.64835744823,50283825.657736965,376000000.0,-5221911.60542469,376000000.0,13.373357887695999
B0205A0305,B0205,A0305,-287013.74827431026,-22671211.252901383,376000000.0,-46997204.44881791,-46997204.44881791,48.23948896277727
A0206A0306,A0206,A0306,101568.50156913493,72206048.40721427,376000000.0,-7928950.581676853,376000000.0,19.20373627851443
A0306B0306,A0306,B0306,-324787.3455368422,-44940543.10991279,376000000.0,-78582534.91440612,-78582534.91440612,57.18897100846016
B0306B0206,B0306,B0206,-26933.87802328669,-6373078.148197017,376000000.0,-23822091.52539009,-23822091.52539009,26.75280691203984
A0305A0306,A0305,A0306,-371181.3622474855,-39034983.3224446,376000000.0,-53599705.932131305,-53599705.932131305,72.82686097545245
B0305B0306,B0305,B0306,-949610.8826040906,-58398592.72537227,376000000.0,-91658668.72418213,-91658668.72418213,63.713114687607366
B0306A0305,B0306,A0305,577312.1257443167,230859493.7665845,376000000.0,-9283398.409643937,376000000.0,61.39880153366608
B0206B0305,B0206,B0305,135169.05934831983,96093015.96143974,376000000.0,-3964475.2908384264,376000000.0,25.556653181233973
A0206B0306,A0206,B0306,33188.83335868612,23594268.60742914,376000000.0,-5221911.60542469,376000000.0,6.275071438146047
B0206A0306,B0206,A0306,-125156.13496709369,-13161942.214880763,376000000.0,-35300122.45266813,-35300122.45266813,37.28582594162057
