point label,mass,ux,uy,uz,Rx,Ry,Rz
B0206,10750.129064256638,-1.7586423025416398,0.03814479883334997,-0.6335416457012326,4.470348358154297e-08,0.0,1.885928213596344e-08
A0300,4542.439354528589,-0.4808177191467098,0.08148426202686361,-0.6659564146074364,1.862645149230957e-09,-1.862645149230957e-09,7.043126970529556e-09
B0300,11928.829483068537,-0.47939014240345307,-0.09988800516956696,-0.6304745193983876,-1.862645149230957e-09,2.7939677238464355e-09,-9.313225746154785e-09
A0301,7035.330549115444,-0.5195215153920597,0.09633524361292857,-0.6672939291402902,-1.2223608791828156e-09,-1.862645149230957e-09,-5.471520125865936e-09
B0301,17745.643702801448,-0.5144918279910219,-0.08099171203421898,-0.6472015874009185,3.725290298461914e-09,2.7939677238464355e-09,-7.334165275096893e-09
A0302,6131.647201059163,-0.5514767774822145,0.12032928605699701,-0.6307977150331783,-1.2398231774568558e-08,0.0,9.89530235528946e-10
B0302,16492.956737623772,-0.5471498778378855,-0.06953576083988008,-0.6711246102294834,3.725290298461914e-09,-2.3283064365386963e-09,-1.9208528101444244e-08
A0303,8824.624131240931,-0.7247518145703811,0.15535537391467957,-0.5706114842151787,2.5029294192790985e-09,-3.725290298461914e-09,-4.773028194904327e-09
B0303,15430.54436089836,-0.7176823498663641,-0.06751227617987998,-0.6978473199113006,0.0,-9.313225746154785e-10,-2.444721758365631e-08
A0304,9050.407054695876,-1.0467378063832031,0.1352931504139456,-0.5682055166356959,-4.94765117764473e-09,-3.725290298461914e-09,-3.3760443329811096e-09
B0304,13773.415655161682,-1.0361064904380974,-0.047003709673781154,-0.7211467342098732,2.2351741790771484e-08,-4.656612873077393e-10,-2.4476321414113045e-08
A0305,8436.138870979976,-1.41264141605139,0.07271506586395625,-0.5757366460399542,-4.94765117764473e-09,-3.725290298461914e-09,4.831235855817795e-09
B0305,11106.918733783508,-1.4026143674407328,-0.02782781823917792,-0.7443576702224324,0.0,9.313225746154785e-10,-3.94647940993309e-08
A0306,5066.206651119264,-1.7869127357150694,0.05383632233776846,-0.5848448088151913,5.4656993597745895e-08,3.725290298461914e-09,-5.704350769519806e-09
B0306,5551.963998596492,-1.779362724472604,0.036657747265437336,-0.7579840085250192,0.0,-1.3969838619232178e-09,1.5425030142068863e-08
